,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
741,694.0,0.457,1520.0,,,,240.0,24.0,106.0,689.0,694.0,0.457,1520.0,373.0,0.8140000000000001,458.0,75.0,,NBA,3039.0,318.0,198.0,1761.0,John Isaacs,PF,65.0,1973-74,,1007.0,SEA,0.457
742,608.0,0.45899999999999996,1325.0,,,,137.0,25.0,108.0,432.0,608.0,0.45899999999999996,1325.0,309.0,0.8109999999999999,381.0,68.0,,NBA,2529.0,198.0,173.0,1525.0,John Isaacs,PF,54.0,1974-75,,630.0,SEA,0.45899999999999996
743,605.0,0.445,1360.0,,,,92.0,26.0,80.0,644.0,605.0,0.445,1360.0,339.0,0.757,448.0,78.0,,NBA,2892.0,234.0,255.0,1549.0,John Isaacs,PF,53.0,1975-76,,878.0,NYK,0.445
744,202.0,0.45,449.0,,,,50.0,27.0,29.0,203.0,202.0,0.45,449.0,109.0,0.8320000000000001,131.0,31.0,,NBA,1021.0,77.0,72.0,513.0,John Isaacs,PF,14.0,1976-77,,280.0,NYK,0.45
745,412.0,0.484,852.0,,,,126.0,28.0,72.0,301.0,412.0,0.484,852.0,96.0,0.711,135.0,67.0,,NBA,1765.0,141.0,188.0,920.0,John Isaacs,PF,37.0,1977-78,140.0,442.0,NYK,0.484
746,595.0,0.494,1205.0,,,,127.0,29.0,82.0,361.0,595.0,0.494,1205.0,231.0,0.7909999999999999,292.0,68.0,,NBA,2361.0,172.0,236.0,1421.0,John Isaacs,PF,40.0,1978-79,200.0,533.0,TOT,0.494
747,249.0,0.489,509.0,,,,56.0,29.0,29.0,140.0,249.0,0.489,509.0,107.0,0.733,146.0,34.0,,NBA,1023.0,66.0,108.0,605.0,John Isaacs,PF,10.0,1978-79,87.0,206.0,NYK,0.489
748,346.0,0.49700000000000005,696.0,,,,71.0,29.0,53.0,221.0,346.0,0.49700000000000005,696.0,124.0,0.8490000000000001,146.0,34.0,,NBA,1338.0,106.0,128.0,816.0,John Isaacs,PF,30.0,1978-79,113.0,327.0,NOJ,0.49700000000000005
749,287.0,0.489,587.0,1.0,0.25,4.0,93.0,30.0,57.0,214.0,288.0,0.48700000000000004,591.0,159.0,0.772,206.0,76.0,,NBA,1544.0,132.0,197.0,736.0,John Isaacs,PF,35.0,1979-80,134.0,346.0,LAL,0.488
750,395.0,0.478,826.0,0.0,0.0,3.0,64.0,32.0,68.0,278.0,395.0,0.47600000000000003,829.0,219.0,0.8420000000000001,260.0,76.0,63.0,NBA,2086.0,144.0,249.0,1009.0,John Isaacs,PF,45.0,1981-82,175.0,422.0,WSB,0.47600000000000003
