,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
18,,,,,,,509.0,24.0,,,835.0,0.441,1893.0,472.0,0.7070000000000001,668.0,79.0,,NBA,3209.0,,254.0,2142.0,Elvin Hayes,PG,,1967-68,,373.0,DET,
19,,,,,,,546.0,25.0,,,678.0,0.425,1594.0,444.0,0.713,623.0,77.0,,NBA,3039.0,,256.0,1800.0,Elvin Hayes,PG,,1968-69,,382.0,DET,
20,,,,,,,418.0,26.0,,,575.0,0.444,1295.0,454.0,0.7829999999999999,580.0,70.0,,NBA,2334.0,,196.0,1604.0,Elvin Hayes,PG,,1969-70,,299.0,DET,
21,,,,,,,408.0,27.0,,,799.0,0.467,1710.0,615.0,0.797,772.0,82.0,,NBA,3065.0,,228.0,2213.0,Elvin Hayes,PG,,1970-71,,364.0,DET,
22,,,,,,,317.0,28.0,,,369.0,0.414,891.0,278.0,0.785,354.0,45.0,,NBA,1936.0,,138.0,1016.0,Elvin Hayes,PG,,1971-72,,186.0,DET,
23,,,,,,,637.0,29.0,,,692.0,0.44799999999999995,1545.0,456.0,0.8140000000000001,560.0,82.0,,NBA,3361.0,,229.0,1840.0,Elvin Hayes,PG,,1972-73,,298.0,DET,
24,,,,,,,555.0,30.0,17.0,173.0,582.0,0.436,1336.0,356.0,0.813,438.0,81.0,,NBA,3124.0,108.0,216.0,1520.0,Elvin Hayes,PG,109.0,1973-74,,281.0,DET,
25,,,,,,,610.0,31.0,26.0,200.0,578.0,0.434,1333.0,343.0,0.809,424.0,79.0,,NBA,3222.0,86.0,222.0,1499.0,Elvin Hayes,PG,116.0,1974-75,,286.0,DET,
26,,,,,,,492.0,32.0,23.0,143.0,497.0,0.447,1113.0,332.0,0.787,422.0,82.0,,NBA,2945.0,94.0,262.0,1326.0,Elvin Hayes,PG,118.0,1975-76,,237.0,WSB,
27,,,,,,,275.0,33.0,5.0,89.0,271.0,0.45399999999999996,597.0,136.0,0.773,176.0,64.0,,NBA,1516.0,54.0,150.0,678.0,Elvin Hayes,SG,61.0,1976-77,,143.0,WSB,
28,,,,,,,300.0,34.0,18.0,136.0,422.0,0.449,940.0,244.0,0.8240000000000001,296.0,80.0,,NBA,2256.0,76.0,247.0,1088.0,Elvin Hayes,PG,79.0,1977-78,216.0,212.0,BOS,
29,,,,,,,5397.0,,89.0,741.0,6962.0,0.441,15769.0,4403.0,0.775,5683.0,901.0,,NBA,32769.0,418.0,2615.0,18327.0,Elvin Hayes,,483.0,Career,216.0,3420.0,,
30,,,,,,,,,,,,,,,,,,,,,,,,Elvin Hayes,,,,,,,
31,,,,,,,4330.0,,43.0,373.0,5772.0,0.44,13119.0,3691.0,0.7709999999999999,4789.0,675.0,,NBA,26052.0,194.0,1956.0,15235.0,Elvin Hayes,,225.0,9 seasons,,2828.0,DET,
32,,,,,,,767.0,,28.0,232.0,768.0,0.449,1710.0,468.0,0.7829999999999999,598.0,146.0,,NBA,4461.0,148.0,412.0,2004.0,Elvin Hayes,,179.0,2 seasons,,380.0,WSB,
33,,,,,,,300.0,,18.0,136.0,422.0,0.449,940.0,244.0,0.8240000000000001,296.0,80.0,,NBA,2256.0,76.0,247.0,1088.0,Elvin Hayes,,79.0,1 season,216.0,212.0,BOS,
34,930.0,0.447,2082.0,,,,113.0,23.0,,,930.0,0.447,2082.0,467.0,0.626,746.0,82.0,,NBA,3695.0,,266.0,2327.0,Neil Johnston,C,,1968-69,,1406.0,SDR,0.447
35,914.0,0.452,2020.0,,,,162.0,24.0,,,914.0,0.452,2020.0,428.0,0.688,622.0,82.0,,NBA,3665.0,,270.0,2256.0,Neil Johnston,C,,1969-70,,1386.0,SDR,0.452
36,948.0,0.428,2215.0,,,,186.0,25.0,,,948.0,0.428,2215.0,454.0,0.672,676.0,82.0,,NBA,3633.0,,225.0,2350.0,Neil Johnston,C,,1970-71,,1362.0,SDR,0.428
37,832.0,0.434,1918.0,,,,270.0,26.0,,,832.0,0.434,1918.0,399.0,0.649,615.0,82.0,,NBA,3461.0,,233.0,2063.0,Neil Johnston,C,,1971-72,,1197.0,HOU,0.434
